Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.pss.json	30052	-	0	0	0	0	0	0	6	432	0	0	0	0	0	0	0	1	0	0	142	167	0	0	0	0	9	0	2
fsh-generated/resources/AllergyIntolerance-allergy-to-sulfonamide.json	482	4	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	1	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-data.json	3919	5	17	0	0	0	0	0	1	388	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-response.json	16651	8	11	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	50	49	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-getrecommendations-a-data.json	5633	5	8	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	32	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-response.json	22127	5	9	0	0	0	0	0	2	226	0	0	0	0	0	0	0	0	0	0	36	78	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-data3.json	3581	4	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	29	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-r-response.json	9572	4	3	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	26	49	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses-response.json	14092	5	3	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	45	76	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses.json	2466	3	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	0	0	0	0
