URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/BacterialCodes,1.0.0,active,,BacterialCodes,Bacterial Codes,"Bacterial Codes",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/CandidaCodes,1.0.0,active,,CandidaCodes,Candida Codes,"Candida Codes",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/ChlamydiaCodes,1.0.0,active,,ChlamydiaCodes,Chlamydia Codes,"Chlamydia Codes",,"SCT,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/CompromisedImmuneSystemCodes,1.0.0,active,,CompromisedImmuneSystemCodes,CompromisedImmuneSystem Codes,"CompromisedImmuneSystem Codes",,"SCT,FHIR,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/GonokokCodes,1.0.0,active,,GonokokCodes,Gonokok Codes,"Gonokok Codes",,"SCT,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/MycoplasmaCodes,1.0.0,active,,MycoplasmaCodes,Mycoplasma Codes,"Mycoplasma Codes",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/OncologyPatientCodes,1.0.0,active,,OncologyPatientCodes,OncologyPatient Codes,"OncologyPatient Codes",,"SCT,FHIR,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/OtherCodes,1.0.0,active,,OtherCodes,Other Codes,"Other Codes",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/PSSRatingTypesVS,1.0.0,draft,,PSSRatingTypesVS,Types of rating provided by the PSS system,"ValueSet - Types of rating provided by the PSS system",,"Internal"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/PregnancyCodes,1.0.0,active,,PregnancyCodes,Pregnancy Codes,"Pregnancy Codes - used for EHRs to consider pregnancy status",,"SCT,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/pss/ValueSet/TrichomonasCodes,1.0.0,active,,TrichomonasCodes,Trichomonas Codes,"Trichomonas Codes",,"SCT"
