Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.pss.json	27593	-	0	0	0	0	0	0	6	205	0	0	0	0	0	0	0	1	0	0	132	124	0	0	0	1	7	0	2
fsh-generated/resources/AllergyIntolerance-allergy-to-sulfonamide.json	482	6	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-data.json	3887	6	25	0	0	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	26	31	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-return.json	6681	7	13	0	1	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	58	35	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-data.json	4816	5	8	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	39	22	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-return.json	10685	8	10	0	0	0	0	0	1	99	0	0	0	0	0	0	0	0	0	0	41	48	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-getrecommendations-data3.json	3235	5	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-r-return.json	8594	6	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	28	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses-return.json	13764	7	4	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	55	56	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses.json	2356	5	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0
fsh-generated/resources/CommunicationRequest-ab-advice.json	1454	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-head-trauma-v2.json	996	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-head-trauma.json	978	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0
